ae_id,speaker,start_time,end_time,sentence,source,targets
TS3007a.D.argumentstructs.Daan.1,D,1175.25,1197.31,5分？わかりました。手短にまとめます。個人的には、多目的である必要があると思います。ほとんどのリモコンは、1つの目的のためだけのものです。多目的にすることで、新しい機能が追加され、市場に新しい機能が追加され、現在の製品と差別化されます。,NONE,"TS3007a.D.argumentstructs.Daan.2, TS3007a.D.argumentstructs.Daan.4, TS3007a.A.argumentstructs.Daan.1"
TS3007a.A.argumentstructs.3,A,1182.27,1241.04,うん。うん。うん。わかった。わかった。わかった。,NONE,NONE
TS3007a.D.argumentstructs.Daan.2,D,1197.82,1214.84,赤外線以外の技術かもしれません。赤外線はむしろ非常に煩わしいと思います。たとえば、誰かがテレビの前に立っていると、スイッチが切れないのです。無線や Bluetooth で送信することを考えてみます。,TS3007a.D.argumentstructs.Daan.1,TS3007a.D.argumentstructs.Daan.3
TS3007a.D.argumentstructs.Daan.3,D,1216.01,1219.84,それはちょっと高いかもしれません。,TS3007a.D.argumentstructs.Daan.2,NONE
TS3007a.D.argumentstructs.Daan.4,D,1221.27,1223.61,そして、L_C_D_ 画面のようなものです。,TS3007a.D.argumentstructs.Daan.1,TS3007a.B.argumentstructs.Daan.1
TS3007a.B.argumentstructs.Daan.1,B,1224.84,1225.74,何の目的ですか?,TS3007a.D.argumentstructs.Daan.4,TS3007a.D.argumentstructs.Daan.5
TS3007a.D.argumentstructs.Daan.5,D,1226.26,1241.44,うーん、ここで言ったように、たぶん簡単でしょう。追加機能としていいのは、特定のチャンネルを見ているときに、L_C_D_画面で、これからどんな番組が放送されるかがわかることです。,TS3007a.B.argumentstructs.Daan.1,NONE
TS3007a.A.argumentstructs.Daan.1,A,1242.37,1255.1,ということは、多目的で非常に技術的に高度なリモコンになるのでしょうか? そうですね、技術的には非常に革新的でなければなりませんね?,TS3007a.D.argumentstructs.Daan.1,"TS3007a.D.argumentstructs.Daan.6, TS3007a.A.argumentstructs.Daan.2"
TS3007a.D.argumentstructs.7,D,1249.44,1250.8,私の観点から言えば、そうですね。,NONE,NONE
TS3007a.D.argumentstructs.Daan.6,D,1255.25,1267.69,そうですね、そうですね、私たちの会社は革新的な新しいものを作るのがとても得意です。,TS3007a.A.argumentstructs.Daan.1,NONE
TS3007a.A.argumentstructs.4,A,1265.44,1265.79,うん。,NONE,NONE
TS3007a.A.argumentstructs.Daan.2,A,1268.07,1275.008,そうですね、私も同意します。私たちは本当に何かを追加してくれるものに焦点を当てなければなりません,TS3007a.A.argumentstructs.Daan.1,NONE
